"SINONIMO NAZIONE","NAZIONE di riferimento per impostare l'ISOCODE"
"AFGHANISTAN","AFGHANISTAN"
"AFRICA DEL SUD","SUDAFRICA"
"AFRIQUE DU SUD","SUDAFRICA"
"ALBANIA","ALBANIA"
"ALBANIE","ALBANIA"
"ALEMANIA","GERMANIA"
"ALGERIA","ALGERIA"
"ALGERIE","ALGERIA"
"ALGÉRIE","ALGERIA"
"ALLEMAGNE","GERMANIA"
"AMERICA","STATI UNITI D'AMERICA"
"AMERICAN SAMOA","SAMOA AMERICANE"
"ANDORRA","ANDORRA"
"ANDORRE","ANDORRA"
"ANGLETERRE","GRAN BRETAGNA"
"ANGOLA","ANGOLA"
"ANGUILLA","ANGUILLA"
"ANTIGUA","ANTIGUA E BARBUDA"
"ANTIGUA AND BARBUDA","ANTIGUA E BARBUDA"
"ANTIGUA E BARBUDA","ANTIGUA E BARBUDA"
"ANTIGUA ET BARBUDA","ANTIGUA E BARBUDA"
"ANTIGUA Y BARBUDA","ANTIGUA E BARBUDA"
"ANTIGUA-ET-BARBUDA","ANTIGUA E BARBUDA"
"ANTILLAS NEERLANDESAS","ANTILLE OLANDESI"
"ANTILLE OLANDESI","ANTILLE OLANDESI"
"ANTILLES NEERLANDAISES","ANTILLE OLANDESI"
"ARABIA","ARABIA SAUDITA"
"ARABIA SAUDITA","ARABIA SAUDITA"
"ARABIE SAOUDITE","ARABIA SAUDITA"
"ARGENTINA","ARGENTINA"
"ARGENTINE","ARGENTINA"
"ARMENIA","ARMENIA"
"ARMENIE","ARMENIA"
"ARMÉNIE","ARMENIA"
"ARUBA","ANTILLE OLANDESI"
"ASCENSION","ASCENSION"
"AUSTRALIA","AUSTRALIA"
"AUSTRALIE","AUSTRALIA"
"AUSTRIA","AUSTRIA"
"AUSTRICHE","AUSTRIA"
"AUTRICHE","AUSTRIA"
"AZEIRBAIJAN","AZERBAIJAN"
"AZERBAIGIAN","AZERBAIJAN"
"AZERBAIJAN","AZERBAIJAN"
"AZERBAJDZAN","AZERBAIJAN"
"BAHAMA","BAHAMA"
"BAHAMAS","BAHAMA"
"BAHAMAS ISLAND","BAHAMA"
"BAHRAIN","BAHRAIN"
"BAHREIN","BAHRAIN"
"BAHREÏN","BAHRAIN"
"BAIA GUANTANAMO","GUANTANAMO BAY"
"BANGLADESH","BANGLADESH"
"BARBADE","BARBADOS"
"BARBADOS","BARBADOS"
"BARBUDA","ANTIGUA E BARBUDA"
"BÉLARUS","BIELORUSSIA"
"BELGICA","BELGIO"
"BELGIE","BELGIO"
"BELGIO","BELGIO"
"BELGIQUE","BELGIO"
"BELGIUM","BELGIO"
"BELICE","BELIZE"
"BELIZE","BELIZE"
"BENIN","BENIN"
"BÉNIN","BENIN"
"BERMUDA","BERMUDA"
"BERMUDAS","BERMUDA"
"BERMUDE","BERMUDA"
"BERMUDES","BERMUDA"
"BHOUTAN","BHUTAN"
"BHUTAN","BHUTAN"
"BIELORUSSIA","BIELORUSSIA"
"BIRMANIA","MYANMAR"
"BOLIVIA","BOLIVIA"
"BOLIVIE","BOLIVIA"
"BONAIRE","ANTILLE OLANDESI"
